,0
0,comscore b
1,genetwister
2,fujifilm manufacturing
3,computest consultancy
4,caotech
5,adsysco
6,adk insights
7,trifork
8,vodafone libertel
9,spro n
10,sab t
11,loxodon b
12,suzlon energy
13,fornova
14,sopheon
15,yaband telecom
16,federaci
17,cameo global
18,binckbank n
19,biomet global
20,patrizia logistics
21,techmatch b
22,foresteffect management
23,bookchoice
24,kroog
25,travelcard
26,panasonic holding
27,xeltis b
28,t0k10 b
29,innovattic
30,nextportchina b
31,torrgas projects
32,equiniti
33,asahi intecc
34,build2live
35,hoyu
36,voetbalzone
37,earthtoday com
38,clickdealer
39,hamburg sud
40,brainstructions
41,integra
42,navis netherlands
43,hihcl
44,dual inventive
45,sposea b
46,nouryon co
47,versum
48,visiopharm nl
49,gvt intermodal
50,alliance tire
51,ecco leather
52,salut
53,corthom b
54,koninklijke haskoningdhv
55,ziemann
56,forehand electronic
57,mutares
58,exploitatie pillows
59,burk consulting
60,ipcos b
61,lurfs engineering
62,knowbe4 nl
63,everynet
64,milabs b
65,demir halk
66,longship
67,macaw nederland
68,coolbi b
69,flytxt
70,fortel
71,eurodrug
72,saic motor
73,medis
74,wmc
75,trelleborg pipe
76,shionogi
77,kunstgebit zorgcentrum
78,toolstation europe
79,weathernews
80,marflex
81,foundersbuddy
82,allshare finance
83,lumos diagnostics
84,vesta terminals
85,verathon
86,jtv
87,jama software
88,ehpc
89,evg start
90,noviotax
91,paazl
92,arcelormittal projects
93,airtrade holland
94,bedatadriven
95,eurus
96,manpowergroup staff
97,chemship
98,freshstream
99,apo shs
100,omvlee neve
101,cc7 europe
102,schlumberger offshore
103,polpharma group
104,vertico b
105,vivotek netherlands
106,lucky kat
107,ab sciex
108,e magy
109,lequest
110,measurabl inc
111,qure
112,gradyent
113,myon forwarding
114,smartmatic
115,inteva
116,morimura
117,collaborne b
118,wyzetalk b
119,lunenburg
120,keukencentrum
121,ginkgo bioworks
122,kusauto
123,qbex
124,aigent
125,kingspan insulation
126,zazare diamonds
127,khan automotive
128,eldohm
129,smartshore b
130,isbank
131,periplus resources
132,cellsens b
133,stichting equileap
134,hmshost international
135,arcus infrastructure
136,splendid data
137,elycio talen
138,hobr
139,mla architecture
140,pidc advanced
141,golden egg
142,inqdo b
143,mmd monitors
144,collaborne
145,cytek
146,darling
147,fuji transport
148,realterm europe
149,addverb technologies
150,venture iq
151,a2z
152,darfon europe
153,viewsonic europe
154,somnox b
155,verenigde pinkster
156,kubo
157,eni
